,Q_id,Id,CreationDate,ParentId
388,43733024,43823139,2017-05-02 08:05:31.733,43733024
389,43747837,0,2017-05-02 21:52:17.117,43747837
390,43789778,0,2017-05-04 17:58:02.210,43789778
391,43827921,0,2017-05-07 04:46:23.787,43827921
392,43832370,0,2017-05-07 13:59:25.377,43832370
393,43870377,0,2017-05-09 12:53:07.300,43870377
394,43897396,0,2017-05-10 15:53:07.370,43897396
395,43909325,0,2017-05-11 07:39:56.827,43909325
396,43911790,0,2017-05-11 09:40:18.543,43911790
397,43941883,43955237,2017-05-12 15:53:31.170,43941883
398,43965272,0,2017-05-14 14:49:53.457,43965272
399,43969264,0,2017-05-14 22:07:20.787,43969264
400,43984072,0,2017-05-15 16:02:12.840,43984072
401,43996568,0,2017-05-16 08:47:32.667,43996568
402,44031573,0,2017-05-17 17:40:41.493,44031573
403,44046230,0,2017-05-18 11:14:49.503,44046230
404,44051721,0,2017-05-18 15:16:41.717,44051721
405,44088235,44088566,2017-05-20 16:22:14.230,44088235
406,44098478,44109363,2017-05-21 15:17:57.727,44098478
407,44152792,0,2017-05-24 08:18:27.773,44152792
408,44152912,44184184,2017-05-24 08:24:20.940,44152912
409,44165132,51184690,2017-05-24 17:33:03.433,44165132
410,44174749,0,2017-05-25 07:27:34.183,44174749
411,44185738,0,2017-05-25 16:45:32.443,44185738
412,44206597,51557157,2017-05-26 16:52:13.900,44206597
413,44222135,0,2017-05-27 22:23:23.950,44222135
414,44232366,44249538,2017-05-28 21:52:57.633,44232366
415,44233585,44237624,2017-05-29 01:32:29.150,44233585
416,44247393,44283397,2017-05-29 17:00:16.847,44247393
417,44249430,44249480,2017-05-29 19:37:24.450,44249430
418,44273637,44279143,2017-05-30 23:53:21.870,44273637
419,44300693,0,2017-06-01 07:04:23.337,44300693
420,44311366,0,2017-06-01 15:15:21.283,44311366
421,44345257,61829317,2017-06-03 14:59:38.070,44345257
422,44382512,44382726,2017-06-06 06:10:03.300,44382512
423,44393807,0,2017-06-06 15:15:06.303,44393807
424,44394490,44395000,2017-06-06 15:46:15.913,44394490
425,44403561,0,2017-06-07 04:32:50.313,44403561
426,44417185,0,2017-06-07 15:39:33.043,44417185
427,44420686,0,2017-06-07 18:53:29.777,44420686
428,44433381,0,2017-06-08 10:35:11.513,44433381
429,44439930,44605669,2017-06-08 15:31:35.660,44439930
430,44462892,0,2017-06-09 16:40:57.213,44462892
431,44492135,0,2017-06-12 05:44:07.003,44492135
432,44492209,0,2017-06-12 05:50:29.433,44492209
433,44497389,0,2017-06-12 10:39:01.813,44497389
434,44541561,44542254,2017-06-14 10:02:53.600,44541561
435,44547808,44615921,2017-06-14 14:37:06.290,44547808
436,44592138,44592259,2017-06-16 14:45:48.210,44592138
437,44629724,0,2017-06-19 11:46:58.923,44629724
438,44656648,0,2017-06-20 15:01:33.513,44656648
439,44725530,45354887,2017-06-23 15:52:37.370,44725530
440,44733083,45293137,2017-06-24 05:25:50.523,44733083
441,44750541,0,2017-06-25 20:56:01.470,44750541
442,44751216,0,2017-06-25 22:36:03.993,44751216
443,44763071,44763318,2017-06-26 15:22:10.807,44763071
444,44804362,0,2017-06-28 13:47:39.700,44804362
445,44807275,0,2017-06-28 15:49:14.873,44807275
446,44821381,0,2017-06-29 09:32:20.053,44821381
447,44833181,0,2017-06-29 19:11:51.143,44833181
448,44845143,0,2017-06-30 11:14:23.993,44845143
449,44858022,0,2017-07-01 06:28:24.683,44858022
450,44872938,44874654,2017-07-02 16:30:35.760,44872938
451,44882316,44882361,2017-07-03 09:40:43.383,44882316
452,44891113,0,2017-07-03 17:25:22.807,44891113
453,44911915,44954094,2017-07-04 18:04:34.397,44911915
454,44922247,0,2017-07-05 09:29:20.430,44922247
455,44922576,0,2017-07-05 09:43:45.873,44922576
456,44932576,45083242,2017-07-05 17:29:00.500,44932576
457,44962349,0,2017-07-07 04:00:58.020,44962349
458,45008008,45008076,2017-07-10 09:10:40.327,45008008
459,45052284,0,2017-07-12 08:25:15.110,45052284
460,45056800,0,2017-07-12 11:45:42.250,45056800
461,45060615,45068106,2017-07-12 14:32:19.570,45060615
462,45072915,45076249,2017-07-13 06:26:48.893,45072915
463,45108433,0,2017-07-14 17:12:55.707,45108433
464,45124611,0,2017-07-16 03:11:45.577,45124611
465,45142527,45354322,2017-07-17 11:01:45.190,45142527
466,45144918,45909212,2017-07-17 12:56:39.713,45144918
467,45151034,45151310,2017-07-17 18:18:07.817,45151034
468,45165249,0,2017-07-18 11:16:45.370,45165249
469,45168756,0,2017-07-18 13:50:12.080,45168756
470,45174156,0,2017-07-18 18:08:43.610,45174156
471,45191401,0,2017-07-19 12:59:37.860,45191401
472,45195663,0,2017-07-19 16:02:15.013,45195663
473,45215533,0,2017-07-20 13:01:25.830,45215533
474,45219297,0,2017-07-20 15:37:05.900,45219297
475,45221524,0,2017-07-20 17:33:31.707,45221524
476,45237660,0,2017-07-21 12:25:42.427,45237660
477,45273073,0,2017-07-24 05:15:49.803,45273073
478,45280935,45281483,2017-07-24 12:41:45.630,45280935
479,45304961,45326127,2017-07-25 13:34:29.730,45304961
480,45332930,0,2017-07-26 16:43:51.417,45332930
481,45337581,45338085,2017-07-26 21:16:23.420,45337581
482,45360076,45361321,2017-07-27 20:05:33.747,45360076
483,45367273,0,2017-07-28 07:22:41.553,45367273
484,45376259,45376588,2017-07-28 14:39:15.323,45376259
485,45398076,0,2017-07-30 08:55:16.300,45398076
486,45399729,45406267,2017-07-30 12:16:51.840,45399729
487,45414040,0,2017-07-31 10:58:22.970,45414040
488,45420800,0,2017-07-31 16:17:44.643,45420800
489,45480341,51521707,2017-08-03 09:36:07.677,45480341
490,45486521,0,2017-08-03 14:02:45.373,45486521
491,45492516,0,2017-08-03 19:02:14.387,45492516
492,45499940,0,2017-08-04 06:48:44.530,45499940
493,45517239,45564278,2017-08-05 01:00:20.917,45517239
494,45534964,45535210,2017-08-06 17:53:34.067,45534964
495,45594775,0,2017-08-09 15:23:53.963,45594775
496,45610865,0,2017-08-10 10:14:26.403,45610865
497,45610903,45673034,2017-08-10 10:16:35.843,45610903
498,45643741,45646459,2017-08-11 21:04:53.400,45643741
499,45647144,0,2017-08-12 06:15:54.180,45647144
500,45652639,45653004,2017-08-12 16:41:34.707,45652639
501,45655059,51659549,2017-08-12 21:24:27.263,45655059
502,45661479,0,2017-08-13 14:34:53.337,45661479
503,45662140,0,2017-08-13 15:48:46.963,45662140
504,45673472,45673539,2017-08-14 11:25:37.547,45673472
505,45680140,45681232,2017-08-14 17:48:45.077,45680140
506,45683481,0,2017-08-14 21:42:29.543,45683481
507,45686213,45700898,2017-08-15 03:50:19.670,45686213
508,45686530,0,2017-08-15 04:32:57.080,45686530
509,45699131,0,2017-08-15 18:25:00.480,45699131
510,45723534,45729517,2017-08-16 21:47:55.770,45723534
511,45758869,0,2017-08-18 14:16:27.393,45758869
512,45774206,0,2017-08-19 17:06:41.183,45774206
513,45780316,45780341,2017-08-20 08:59:18.493,45780316
514,45784633,0,2017-08-20 16:54:58.710,45784633
515,45799038,45801708,2017-08-21 13:59:52.210,45799038
516,45819993,0,2017-08-22 14:10:17.143,45819993
517,45864468,0,2017-08-24 14:38:04.450,45864468
518,45879824,0,2017-08-25 10:55:45.700,45879824
519,45886595,0,2017-08-25 17:21:43.987,45886595
520,45934011,0,2017-08-29 08:16:42.837,45934011
521,45968302,45968534,2017-08-30 19:25:28.817,45968302
522,45982888,46032838,2017-08-31 13:38:35.450,45982888
523,45991923,45992108,2017-09-01 00:48:14.820,45991923
524,45997484,46000636,2017-09-01 09:47:30.943,45997484
525,46007304,0,2017-09-01 20:04:22.620,46007304
526,46032999,46040243,2017-09-04 08:23:45.610,46032999
527,46138691,0,2017-09-10 08:19:04.790,46138691
528,46157513,0,2017-09-11 13:58:43.260,46157513
529,46164953,46165012,2017-09-11 22:02:24.320,46164953
530,46200654,46220934,2017-09-13 14:50:06.593,46200654
531,46203196,0,2017-09-13 17:03:32.890,46203196
532,46219942,0,2017-09-14 13:03:05.733,46219942
533,46220679,0,2017-09-14 13:38:06.883,46220679
534,46301461,0,2017-09-19 13:13:21.623,46301461
535,46303155,46303332,2017-09-19 14:31:52.230,46303155
536,46308533,0,2017-09-19 19:38:19.320,46308533
537,46349810,0,2017-09-21 17:24:14.503,46349810
538,46352394,0,2017-09-21 20:07:08.837,46352394
539,46359549,0,2017-09-22 07:50:11.263,46359549
540,46364986,0,2017-09-22 12:35:42.930,46364986
541,46465979,46466714,2017-09-28 09:45:08.903,46465979
542,46512001,46512165,2017-10-01 11:37:32.420,46512001
543,46550927,46551090,2017-10-03 18:16:04.120,46550927
544,46610658,46611729,2017-10-06 17:04:08.283,46610658
545,46643667,0,2017-10-09 09:57:11.133,46643667
546,46661726,46667268,2017-10-10 08:14:34.460,46661726
547,46663998,0,2017-10-10 10:04:10.067,46663998
548,46671775,0,2017-10-10 16:40:36.440,46671775
549,46706237,46706764,2017-10-12 09:38:09.583,46706237
550,46707971,0,2017-10-12 11:02:04.407,46707971
551,46727283,46728458,2017-10-13 09:58:42.917,46727283
552,46746776,0,2017-10-14 16:26:21.713,46746776
553,46752848,0,2017-10-15 07:44:32.920,46752848
554,46758520,51351082,2017-10-15 18:27:16.380,46758520
555,46780772,0,2017-10-17 00:27:29.527,46780772
556,46786428,0,2017-10-17 09:06:36.273,46786428
557,46832715,0,2017-10-19 14:48:54.983,46832715
558,46854739,0,2017-10-20 17:56:56.060,46854739
559,46876636,0,2017-10-22 16:41:31.910,46876636
560,46880568,0,2017-10-23 00:47:35.900,46880568
561,46880664,46883459,2017-10-23 01:05:59.387,46880664
562,46899737,46900053,2017-10-23 22:59:35.810,46899737
563,46900087,0,2017-10-23 23:46:25.490,46900087
564,46914294,46928750,2017-10-24 15:20:54.157,46914294
565,46929386,46930489,2017-10-25 09:58:25.300,46929386
566,46965324,46965640,2017-10-26 23:29:20.843,46965324
567,46987866,46988233,2017-10-28 08:44:42.387,46987866
568,47038875,0,2017-10-31 15:20:01.807,47038875
569,47038936,0,2017-10-31 15:23:37.423,47038936
570,47061514,0,2017-11-01 18:36:30.320,47061514
571,47151541,48302508,2017-11-07 06:43:10.037,47151541
572,47169931,47171436,2017-11-08 01:05:04.937,47169931
573,47177426,0,2017-11-08 10:35:46.670,47177426
574,47181196,47181474,2017-11-08 13:38:39.317,47181196
575,47206514,0,2017-11-09 16:08:17.837,47206514
576,47210794,0,2017-11-09 20:17:12.923,47210794
577,47211566,47211834,2017-11-09 21:09:28.123,47211566
578,47220023,47231542,2017-11-10 09:55:31.393,47220023
579,47221726,0,2017-11-10 11:24:57.257,47221726
580,47224490,47225567,2017-11-10 14:02:18.183,47224490
581,47245210,47277089,2017-11-12 03:40:36.640,47245210
582,47301614,0,2017-11-15 07:24:54.860,47301614
583,47314089,0,2017-11-15 17:46:48.863,47314089
584,47327261,0,2017-11-16 10:29:04.333,47327261
585,47342861,0,2017-11-17 03:36:06.350,47342861
586,47343658,0,2017-11-17 05:07:35.190,47343658
587,47418350,47418661,2017-11-21 16:45:39.377,47418350
588,47425065,47467727,2017-11-22 00:41:16.833,47425065
589,47437320,47438044,2017-11-22 14:36:22.150,47437320
590,47486022,0,2017-11-25 12:33:06.883,47486022
591,47526721,0,2017-11-28 08:07:01.347,47526721
592,47540846,47542265,2017-11-28 21:00:40.023,47540846
593,47558776,0,2017-11-29 17:48:40.217,47558776
594,47633534,47633727,2017-12-04 12:35:09.403,47633534
595,47635481,0,2017-12-04 14:24:09.613,47635481
596,47640220,0,2017-12-04 19:03:00.500,47640220
597,47646808,0,2017-12-05 05:43:53.100,47646808
598,47651464,47652401,2017-12-05 10:34:36.030,47651464
599,47661814,47661918,2017-12-05 20:06:16.670,47661814
600,47685509,47685803,2017-12-07 00:04:21.817,47685509
601,47711951,47911746,2017-12-08 10:05:07.420,47711951
602,47712434,47713552,2017-12-08 10:30:01.897,47712434
603,47727313,47727753,2017-12-09 09:48:31.733,47727313
604,47730813,0,2017-12-09 16:48:53.613,47730813
605,47737892,0,2017-12-10 10:28:18.020,47737892
606,47738178,47821379,2017-12-10 11:05:08.917,47738178
607,47743880,47746078,2017-12-10 21:55:32.590,47743880
608,47758606,0,2017-12-11 17:53:59.473,47758606
609,47800766,0,2017-12-13 19:27:41.423,47800766
610,47825801,0,2017-12-15 04:24:41.233,47825801
611,47840772,47844132,2017-12-15 22:38:00.313,47840772
612,47879051,47943754,2017-12-19 02:04:25.223,47879051
613,47926626,0,2017-12-21 14:04:09.190,47926626
614,47966365,0,2017-12-25 06:49:45.670,47966365
615,47974825,0,2017-12-26 06:40:07.097,47974825
616,47984120,47984186,2017-12-26 21:59:03.447,47984120
617,48006886,48020006,2017-12-28 11:43:28.533,48006886
618,48015429,48016437,2017-12-28 22:59:16.363,48015429
619,48045757,0,2017-12-31 21:26:39.267,48045757
620,48047212,0,2018-01-01 04:48:18.580,48047212
621,48057127,0,2018-01-02 07:27:29.007,48057127
622,48077469,0,2018-01-03 12:31:06.837,48077469
623,48123178,0,2018-01-06 00:37:53.167,48123178
624,48156146,48156791,2018-01-08 18:35:03.340,48156146
625,48168397,0,2018-01-09 12:37:54.303,48168397
626,48187123,0,2018-01-10 12:05:48.563,48187123
627,48191496,48192037,2018-01-10 16:04:52.513,48191496
628,48193875,48195341,2018-01-10 18:23:50.100,48193875
629,48221141,0,2018-01-12 07:01:21.590,48221141
630,48264414,48265628,2018-01-15 13:53:40.223,48264414
631,48271876,48284602,2018-01-15 22:59:44.350,48271876
632,48288731,0,2018-01-16 19:45:34.987,48288731
633,48317740,0,2018-01-18 09:24:11.817,48317740
634,48346778,48353101,2018-01-19 17:47:12.483,48346778
635,48414349,48496185,2018-01-24 03:26:06.477,48414349
636,48429680,48431441,2018-01-24 18:52:44.547,48429680
637,48451351,0,2018-01-25 20:28:56.947,48451351
638,48452971,0,2018-01-25 22:31:34.437,48452971
639,48454365,0,2018-01-26 00:59:56.070,48454365
640,48482848,48486164,2018-01-28 03:18:38.937,48482848
641,48552725,0,2018-01-31 22:47:18.447,48552725
642,48554516,48555178,2018-02-01 02:36:08.670,48554516
643,48568173,0,2018-02-01 17:07:34.110,48568173
644,48577695,48667366,2018-02-02 07:25:50.073,48577695
645,48600550,0,2018-02-03 18:23:38.250,48600550
646,48603187,0,2018-02-03 23:34:41.177,48603187
647,48616638,0,2018-02-05 05:59:42.693,48616638
648,48661542,48664990,2018-02-07 10:32:25.547,48661542
649,48691663,48701379,2018-02-08 17:43:35.443,48691663
650,48721778,0,2018-02-10 14:24:20.803,48721778
651,48724943,0,2018-02-10 19:52:44.790,48724943
652,48741557,48747726,2018-02-12 07:40:34.787,48741557
653,48750267,0,2018-02-12 15:46:58.907,48750267
654,48768236,48768423,2018-02-13 13:43:25.850,48768236
655,48769626,0,2018-02-13 14:56:41.297,48769626
656,48791954,0,2018-02-14 16:30:52.463,48791954
657,48795432,0,2018-02-14 20:11:35.600,48795432
658,48803257,48840628,2018-02-15 08:55:27.197,48803257
659,48813628,48922493,2018-02-15 18:02:49.863,48813628
660,48864798,0,2018-02-19 11:07:01.593,48864798
661,48866646,48867481,2018-02-19 12:51:03.133,48866646
662,48875189,48906798,2018-02-19 22:34:25.597,48875189
663,48890893,48893184,2018-02-20 17:22:38.720,48890893
664,48945583,0,2018-02-23 10:18:59.590,48945583
665,48994165,0,2018-02-26 17:44:27.073,48994165
666,49001115,63933475,2018-02-27 04:22:58.203,49001115
667,49008681,49035968,2018-02-27 12:26:17.193,49008681
668,49030552,49030674,2018-02-28 13:18:33.833,49030552
669,49041167,49041354,2018-03-01 01:11:22.100,49041167
670,49050364,0,2018-03-01 13:06:37.233,49050364
671,49051873,49052062,2018-03-01 14:29:57.850,49051873
672,49055885,49062782,2018-03-01 17:56:39.217,49055885
673,49090948,0,2018-03-04 01:11:31.883,49090948
674,49092120,0,2018-03-04 04:56:00.647,49092120
675,49114666,49123237,2018-03-05 16:06:46.447,49114666
676,49117412,0,2018-03-05 18:45:25.473,49117412
677,49122237,0,2018-03-06 01:49:02.023,49122237
678,49127615,0,2018-03-06 09:38:29.513,49127615
679,49145342,0,2018-03-07 06:16:13.523,49145342
680,49150828,0,2018-03-07 11:29:50.510,49150828
681,49188647,49195011,2018-03-09 07:29:04.760,49188647
682,49196118,0,2018-03-09 14:40:32.253,49196118
683,49198010,49304079,2018-03-09 16:21:39.750,49198010
684,49211002,0,2018-03-10 15:50:36.433,49211002
685,49240936,0,2018-03-12 17:13:40.597,49240936
686,49264543,0,2018-03-13 19:37:29.373,49264543
687,49264566,0,2018-03-13 19:38:45.653,49264566
688,49274713,49281740,2018-03-14 10:02:15.503,49274713
689,49280238,0,2018-03-14 14:25:16.733,49280238
690,49302438,0,2018-03-15 14:44:22.790,49302438
691,49310314,0,2018-03-15 22:34:32.860,49310314
692,49341758,0,2018-03-17 20:47:33.043,49341758
693,49348365,49348812,2018-03-18 13:24:19.063,49348365
694,49389677,49390769,2018-03-20 16:37:41.197,49389677
695,49470273,0,2018-03-24 21:46:16.797,49470273
696,49471332,49471396,2018-03-25 00:19:54.150,49471332
697,49483727,0,2018-03-26 03:57:47.840,49483727
698,49501781,49503420,2018-03-26 22:42:48.757,49501781
699,49511263,0,2018-03-27 11:05:28.093,49511263
700,49515313,49515456,2018-03-27 14:16:18.913,49515313
701,49516021,0,2018-03-27 14:46:34.873,49516021
702,49519474,0,2018-03-27 17:54:49.080,49519474
703,49544062,49555336,2018-03-28 20:57:40.383,49544062
704,49568526,0,2018-03-30 04:49:39.517,49568526
705,49587634,49609799,2018-03-31 12:17:34.587,49587634
706,49594871,0,2018-04-01 04:41:30.073,49594871
707,49595553,0,2018-04-01 06:50:06.000,49595553
708,49595579,0,2018-04-01 06:54:28.000,49595579
709,49627894,0,2018-04-03 10:33:24.353,49627894
710,49631773,0,2018-04-03 13:48:04.583,49631773
711,49643162,0,2018-04-04 05:03:26.677,49643162
712,49668238,49669407,2018-04-05 09:01:03.797,49668238
713,49689095,0,2018-04-06 08:59:14.113,49689095
714,49703632,49703755,2018-04-07 03:47:39.817,49703632
715,49709419,0,2018-04-07 16:18:57.477,49709419
716,49714936,0,2018-04-08 06:02:28.843,49714936
717,49728219,49728372,2018-04-09 08:08:48.187,49728219
718,49749350,0,2018-04-10 08:52:59.313,49749350
719,49757279,49757364,2018-04-10 15:16:08.090,49757279
720,49767515,0,2018-04-11 05:57:07.703,49767515
721,49768499,58743496,2018-04-11 07:00:40.513,49768499
722,49772863,49772864,2018-04-11 10:36:48.023,49772863
723,49773603,0,2018-04-11 11:12:35.803,49773603
724,49808745,49808834,2018-04-13 03:12:26.380,49808745
725,49809800,49810105,2018-04-13 05:20:52.707,49809800
726,49811311,49934921,2018-04-13 07:12:56.110,49811311
727,49826276,0,2018-04-13 23:16:18.150,49826276
728,49833697,49834253,2018-04-14 16:34:53.880,49833697
729,49845537,0,2018-04-15 18:43:03.987,49845537
730,49853947,0,2018-04-16 09:30:54.830,49853947
731,49858298,49858773,2018-04-16 13:17:11.707,49858298
732,49878781,49879922,2018-04-17 12:56:57.913,49878781
733,49911014,49912819,2018-04-19 00:47:47.757,49911014
734,49928461,0,2018-04-19 19:05:06.743,49928461
735,49961727,49964620,2018-04-22 01:31:53.553,49961727
736,49964564,49964677,2018-04-22 09:43:35.767,49964564
737,49989791,0,2018-04-23 20:54:21.307,49989791
738,49989855,49990426,2018-04-23 20:59:45.970,49989855
739,50058862,50940037,2018-04-27 09:00:24.317,50058862
740,50068841,0,2018-04-27 19:06:51.643,50068841
741,50082517,50083769,2018-04-29 01:16:28.277,50082517
742,50084483,50085963,2018-04-29 07:52:38.310,50084483
743,50084540,0,2018-04-29 08:00:13.770,50084540
744,50100618,0,2018-04-30 12:31:37.173,50100618
745,50105741,50118960,2018-04-30 17:52:28.933,50105741
746,50173228,0,2018-05-04 10:52:12.843,50173228
747,50181551,50358194,2018-05-04 18:58:03.873,50181551
748,50184059,50199241,2018-05-04 22:56:31.830,50184059
749,50194185,50194331,2018-05-05 21:30:49.680,50194185
750,50212878,0,2018-05-07 11:13:39.427,50212878
751,50217920,0,2018-05-07 15:41:52.803,50217920
752,50220201,0,2018-05-07 18:15:09.703,50220201
753,50236807,0,2018-05-08 15:06:43.100,50236807
754,50270893,0,2018-05-10 10:33:18.763,50270893
755,50282163,50486058,2018-05-10 22:06:07.030,50282163
756,50290133,0,2018-05-11 10:18:48.903,50290133
757,50301034,50310487,2018-05-11 22:28:00.883,50301034
758,50364263,50813562,2018-05-16 06:57:31.797,50364263
759,50374305,0,2018-05-16 15:03:29.803,50374305
760,50394423,0,2018-05-17 14:49:30.973,50394423
761,50435253,50437283,2018-05-20 13:19:36.743,50435253
762,50499301,0,2018-05-24 00:38:59.057,50499301
763,50511850,50554511,2018-05-24 14:27:05.547,50511850
764,50535095,0,2018-05-25 18:37:39.277,50535095
765,50544207,0,2018-05-26 15:17:04.093,50544207
766,50557559,0,2018-05-27 23:53:44.837,50557559
767,50594629,0,2018-05-30 00:07:35.383,50594629
768,50624092,0,2018-05-31 12:15:08.307,50624092
769,50634882,50634916,2018-06-01 01:26:17.507,50634882
770,50654594,50782168,2018-06-02 07:32:57.983,50654594
771,50671163,0,2018-06-03 21:30:34.343,50671163
772,50723696,50763654,2018-06-06 15:05:28.403,50723696
773,50732902,0,2018-06-07 04:20:02.603,50732902
774,50740947,50744079,2018-06-07 12:13:37.630,50740947
775,50754773,0,2018-06-08 06:38:47.683,50754773
776,50763910,50784451,2018-06-08 15:28:06.417,50763910
777,50781775,50786571,2018-06-10 08:11:38.230,50781775
778,50786876,0,2018-06-10 18:33:13.070,50786876
779,50795593,50814225,2018-06-11 10:26:09.220,50795593
780,50800051,50800235,2018-06-11 14:26:08.410,50800051
781,50801040,50801888,2018-06-11 15:16:56.887,50801040
782,50802456,0,2018-06-11 16:40:39.577,50802456
783,50808988,50809280,2018-06-12 03:52:25.223,50808988
784,50820764,50820990,2018-06-12 15:26:51.163,50820764
785,50835143,0,2018-06-13 10:40:44.640,50835143
786,50846582,50847201,2018-06-13 21:32:22.763,50846582
787,50851222,0,2018-06-14 06:48:43.590,50851222
788,50859589,0,2018-06-14 14:13:52.470,50859589
789,50883017,50923271,2018-06-15 21:42:24.623,50883017
790,50890872,0,2018-06-16 19:02:23.143,50890872
791,50891106,50891146,2018-06-16 19:34:00.777,50891106
792,50923518,0,2018-06-19 08:06:56.287,50923518
793,50926449,0,2018-06-19 10:42:35.627,50926449
794,50935735,0,2018-06-19 19:34:56.737,50935735
795,50940683,0,2018-06-20 05:15:55.277,50940683
796,51000128,0,2018-06-23 10:11:30.820,51000128
797,51010234,0,2018-06-24 13:07:02.750,51010234
798,51018919,51019172,2018-06-25 08:14:45.090,51018919
799,51028468,51031161,2018-06-25 16:58:22.517,51028468
800,51047837,51308003,2018-06-26 16:44:03.270,51047837
801,51066918,0,2018-06-27 15:50:15.907,51066918
802,51087330,0,2018-06-28 16:08:06.433,51087330
803,51125559,0,2018-07-01 17:38:24.357,51125559
804,51128568,0,2018-07-02 02:48:07.917,51128568
