,Q_id,Id,CreationDate,ParentId
35,36625946,36812834,2016-04-14 14:18:11.563,33946623
36,36783556,36892798,2016-04-22 02:08:10.023,33969292
37,36949140,0,2016-04-29 23:48:58.963,34018271
38,37157305,37170844,2016-05-11 08:41:46.387,34097168
39,37171767,0,2016-05-11 19:32:20.200,34114659
40,37229560,0,2016-05-14 17:09:03.003,34114935
41,37618008,37878472,2016-06-03 15:17:07.653,34115533
42,38006903,0,2016-06-24 06:29:28.803,34150033
43,38053561,38221922,2016-06-27 12:06:50.507,34159119
44,38116731,0,2016-06-30 07:36:51.767,34230275
45,38155586,0,2016-07-02 01:15:24.170,34240512
46,38190515,0,2016-07-04 18:31:02.050,34297788
47,38199928,38205378,2016-07-05 09:34:04.480,34312259
48,38280921,0,2016-07-09 10:37:33.410,34354131
49,38305103,38305988,2016-07-11 10:52:31.880,34360579
50,38319676,38320059,2016-07-12 03:43:21.127,34427663
51,38412314,0,2016-07-16 14:47:32.317,34456753
52,38419871,0,2016-07-17 09:39:17.063,34479372
53,38434549,0,2016-07-18 10:36:04.167,34521426
54,38443046,0,2016-07-18 17:52:23.317,34558246
55,38489341,0,2016-07-20 19:33:48.687,34581116
56,38511869,0,2016-07-21 18:32:30.680,34607345
57,38519226,0,2016-07-22 06:01:39.773,34742214
58,38697399,0,2016-08-01 11:13:16.567,34746304
59,38739001,0,2016-08-03 09:00:12.207,34747717
60,38857358,38877389,2016-08-09 17:49:53.690,34823654
61,38959329,0,2016-08-15 16:47:41.840,34872856
62,39019545,0,2016-08-18 13:30:33.430,34965621
63,39407600,0,2016-09-09 08:54:12.237,35019009
64,39424994,0,2016-09-10 10:10:23.140,35030382
65,39431623,39434636,2016-09-10 23:54:16.557,35048136
66,39553079,39554555,2016-09-18 00:51:55.677,35054082
67,39664716,39852318,2016-09-23 15:40:22.307,35060512
68,39678499,0,2016-09-24 16:25:14.697,35076657
69,39853565,39998798,2016-10-04 13:24:38.460,35122717
70,39854207,0,2016-10-04 13:55:54.240,35125433
71,39950763,39954717,2016-10-10 03:05:52.343,35126893
72,40071845,40073067,2016-10-16 15:12:36.893,35131367
73,40136497,0,2016-10-19 16:04:21.093,35254096
74,40206772,40214420,2016-10-23 19:08:36.050,35273956
75,40364975,0,2016-11-01 17:06:23.727,35305772
76,40440879,0,2016-11-05 16:59:06.577,35324660
77,40461959,40463058,2016-11-07 09:39:11.237,35533099
78,40550905,0,2016-11-11 15:16:02.143,35534537
79,40565029,40572930,2016-11-12 16:31:17.943,35586952
80,40567635,40567678,2016-11-12 21:03:50.617,35661976
81,40587029,0,2016-11-14 10:54:31.730,35709615
82,40752277,0,2016-11-22 21:49:30.550,35711406
83,40752594,0,2016-11-22 22:12:24.540,35753144
84,40903366,69965620,2016-12-01 05:41:23.520,35757799
85,41027215,0,2016-12-07 20:56:04.473,35792879
86,41040639,0,2016-12-08 13:26:42.623,35810172
87,41062127,0,2016-12-09 13:59:38.393,35820607
88,41104310,41139582,2016-12-12 15:36:26.593,35875467
89,41129352,0,2016-12-13 19:47:11.800,35978599
90,41186755,41245371,2016-12-16 14:40:01.477,35989956
91,41348663,0,2016-12-27 16:25:47.393,36088572
92,41535773,0,2017-01-08 17:45:15.530,36194069
93,41555752,0,2017-01-09 19:47:29.763,36250125
94,41692545,0,2017-01-17 08:45:41.077,36380468
95,41785777,41786585,2017-01-21 23:40:30.840,36436804
96,41786950,0,2017-01-22 03:16:57.980,36461392
97,41813873,42286957,2017-01-23 19:13:04.410,36477555
98,41833474,41863335,2017-01-24 16:33:28.127,36507147
99,41855451,0,2017-01-25 15:30:46.930,36512867
100,41878057,41895097,2017-01-26 16:18:48.107,36559850
101,41879823,42020794,2017-01-26 17:52:18.253,36595268
102,41904170,41959803,2017-01-27 22:37:34.283,36724785
103,42036654,0,2017-02-04 04:59:49.530,36771499
104,42109785,0,2017-02-08 09:53:30.767,36802615
105,42119878,0,2017-02-08 17:33:00.583,36809425
106,42122635,0,2017-02-08 20:06:38.823,36814412
107,42141313,51599976,2017-02-09 15:59:02.547,36849895
108,42196583,0,2017-02-13 04:13:37.507,36938245
109,42264235,42264760,2017-02-16 03:22:04.217,36945764
110,42276468,42302282,2017-02-16 14:16:57.113,36970943
111,42291958,0,2017-02-17 07:31:13.690,36993897
112,42319642,0,2017-02-18 19:21:10.427,37008677
113,42464200,42464222,2017-02-26 02:51:45.523,37021225
114,42467738,42468046,2017-02-26 11:12:09.083,37022679
115,42481240,0,2017-02-27 08:46:06.087,37056891
116,42501451,58988860,2017-02-28 06:11:31.163,37290049
117,42513981,0,2017-02-28 16:28:06.767,37323199
118,42522054,0,2017-03-01 02:20:58.287,37337146
119,42539339,0,2017-03-01 18:31:39.480,37467764
120,42608207,42623739,2017-03-05 12:11:39.193,37473087
121,42621758,0,2017-03-06 09:20:50.203,37493331
122,42664804,0,2017-03-08 06:53:14.667,37669330
123,42670393,0,2017-03-08 11:41:14.737,37701399
124,42671982,42674715,2017-03-08 12:55:56.413,37722149
125,42710170,0,2017-03-10 04:19:48.203,37732167
