,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
27,33732066,2015-11-16 09:30:11.410,20710.0,2.0,15.0,2.0,0,"[('0', Timestamp('2015-11-16 09:30:11.410000'))]",2015-11-16 09:30:11.410000,2015-11-16 09:30:11.410000,0.0,0.0
28,33744952,2015-11-16 21:27:03.527,8521.0,4.0,6.0,2.0,35155233,"[('35155233', Timestamp('2015-11-16 21:27:03.527000'))]",2015-11-16 21:27:03.527000,2015-11-16 21:27:03.527000,0.0,0.0
29,33793504,2015-11-19 01:05:45.693,19967.0,2.0,59.0,8.0,34425880,"[('34425880', Timestamp('2015-11-19 01:05:45.693000'))]",2015-11-19 01:05:45.693000,2015-11-19 01:05:45.693000,0.0,0.0
30,33820139,2015-11-20 06:15:35.987,28415.0,0.0,40.0,1.0,33820173,"[('33820173', Timestamp('2015-11-20 06:15:35.987000'))]",2015-11-20 06:15:35.987000,2015-11-20 06:15:35.987000,0.0,0.0
31,33946623,2015-11-26 20:36:51.513,357.0,0.0,1.0,1.0,33947617,"[('33947617', Timestamp('2015-11-26 20:36:51.513000'))]",2015-11-26 20:36:51.513000,2015-11-26 20:36:51.513000,0.0,0.0
32,33969292,2015-11-28 08:28:05.790,6188.0,2.0,2.0,2.0,34000549,"[('34000549', Timestamp('2015-11-28 08:28:05.790000'))]",2015-11-28 08:28:05.790000,2015-11-28 08:28:05.790000,0.0,0.0
33,34018271,2015-12-01 10:37:05.927,483.0,0.0,1.0,1.0,34021902,"[('34021902', Timestamp('2015-12-01 10:37:05.927000'))]",2015-12-01 10:37:05.927000,2015-12-01 10:37:05.927000,0.0,0.0
34,34097168,2015-12-04 20:48:15.710,3721.0,7.0,2.0,1.0,34145114,"[('34145114', Timestamp('2015-12-04 20:48:15.710000'))]",2015-12-04 20:48:15.710000,2015-12-04 20:48:15.710000,0.0,0.0
35,34114659,2015-12-06 06:16:11.090,1550.0,0.0,1.0,1.0,34142962,"[('34142962', Timestamp('2015-12-06 06:16:11.090000'))]",2015-12-06 06:16:11.090000,2015-12-06 06:16:11.090000,0.0,0.0
36,34114935,2015-12-06 07:00:13.160,2491.0,0.0,4.0,2.0,34114936,"[('34114936', Timestamp('2015-12-06 07:00:13.160000'))]",2015-12-06 07:00:13.160000,2015-12-06 07:00:13.160000,0.0,0.0
